measurement_time,measurement_name,value
2019-09-04 03:42:00,Temp_1,30.0
2019-09-04 03:54:00,Temp_1,30.0
2019-09-04 03:54:00,Temp_2,30.03
2019-09-04 04:12:00,Temp_2,30.045
2019-09-04 04:12:00,Temp_1,30.0
2019-09-04 04:24:00,Temp_2,30.105
2019-09-04 04:24:00,Temp_1,30.0
2019-09-04 04:42:00,Temp_1,30.0
2019-09-04 04:42:00,Temp_2,30.105
2019-09-04 04:54:00,Temp_2,30.075
2019-09-04 04:54:00,Temp_1,30.0
2019-09-04 05:12:00,Temp_2,30.045
2019-09-04 05:12:00,Temp_1,30.0
2019-09-04 05:24:00,Temp_2,30.105
2019-09-04 05:24:00,Temp_1,30.0
2019-09-04 05:42:00,Temp_1,30.0
2019-09-04 05:42:00,Temp_2,30.105
2019-09-04 05:54:00,Temp_1,29.97
2019-09-04 05:54:00,Temp_2,30.105
2019-09-04 06:12:00,Temp_1,30.0
2019-09-04 06:12:00,Temp_2,30.105
2019-09-04 06:24:00,Temp_1,30.0
2019-09-04 06:24:00,Temp_2,30.105
2019-09-04 06:42:00,Temp_1,30.0
2019-09-04 06:42:00,Temp_2,30.195
2019-09-04 06:54:00,Temp_1,30.0
2019-09-04 06:54:00,Temp_2,30.105
2019-09-04 07:12:00,Temp_2,30.195
2019-09-04 07:12:00,Temp_1,30.0
2019-09-04 07:24:00,Temp_1,30.0
2019-09-04 07:24:00,Temp_2,30.045
2019-09-04 07:42:00,Temp_1,30.0
2019-09-04 07:42:00,Temp_2,30.105
2019-09-04 07:54:00,Temp_2,30.105
2019-09-04 07:54:00,Temp_1,30.0
2019-09-04 08:12:00,Temp_1,30.0
2019-09-04 08:12:00,Temp_2,30.15
2019-09-04 08:24:00,Temp_2,30.105
2019-09-04 08:24:00,Temp_1,30.0
2019-09-04 08:42:00,Temp_1,30.0
2019-09-04 08:42:00,Temp_2,30.105
2019-09-04 08:54:00,Temp_1,30.0
2019-09-04 08:54:00,Temp_2,30.105
2019-09-04 09:12:00,Temp_2,30.0
2019-09-04 09:12:00,Temp_1,30.0
2019-09-04 09:24:00,Temp_1,30.0
2019-09-04 09:24:00,Temp_2,30.03
2019-09-04 09:42:00,Temp_1,30.0
2019-09-04 09:42:00,Temp_2,30.0
2019-09-04 09:54:00,Temp_2,30.03
2019-09-04 09:54:00,Temp_1,30.0
2019-09-04 10:12:00,Temp_2,30.105
2019-09-04 10:12:00,Temp_1,30.0
2019-09-04 10:24:00,Temp_1,30.0
2019-09-04 10:24:00,Temp_2,30.195
2019-09-04 10:42:00,Temp_2,30.0
2019-09-04 10:42:00,Temp_1,30.0
2019-09-04 10:54:00,Temp_1,29.97
2019-09-04 10:54:00,Temp_2,30.03
2019-09-04 11:12:00,Temp_2,30.195
2019-09-04 11:12:00,Temp_1,30.0
2019-09-04 11:24:00,Temp_2,30.105
2019-09-04 11:24:00,Temp_1,30.0
2019-09-04 11:42:00,Temp_2,30.105
2019-09-04 11:42:00,Temp_1,30.0
2019-09-04 11:54:00,Temp_2,30.0
2019-09-04 11:54:00,Temp_1,29.955
2019-09-04 12:12:00,Temp_2,30.195
2019-09-04 12:12:00,Temp_1,30.0
2019-09-04 12:24:00,Temp_2,30.0
2019-09-04 12:24:00,Temp_1,30.0
2019-09-04 12:42:00,Temp_2,30.0
2019-09-04 12:42:00,Temp_1,30.0
2019-09-04 12:54:00,Temp_1,30.0
2019-09-04 12:54:00,Temp_2,30.0
